grid_cell,province,olap
1856,Shandong,4109173.2122095
1922,Shandong,6459577220.56312
1923,Shandong,6481465075.37641
1924,Shandong,4851873184.04917
1925,Shandong,5266386399.55317
1926,Shandong,6559880295.47666
1927,Shandong,5237621314.86093
1928,Shandong,1780348731.1878
1993,Shandong,6447708663.30712
1994,Shandong,6582851114.147
1995,Shandong,6605589413.55028
1996,Shandong,6630523972.17094
1997,Shandong,6093941175.37665
1998,Shandong,2697389596.14856
1999,Shandong,3971758.55127504
2063,Henan,6642827669.92637
2064,Shandong,3586407344.82138
2065,Shandong,6628761253.09809
2066,Shandong,6706341520.78053
2067,Shandong,6729948285.09516
2068,Shandong,6734188179.58162
2069,Shandong,2470011286.72675
2135,Henan,6449575396.71893
2136,Shandong,4754450658.50763
2134,Henan,6755237723.15924
2202,Shaanxi,6645118120.38715
2203,Henan,6247910329.3546
2204,Henan,6851582974.37747
2205,Henan,6862657365.56015
2206,Henan,6876075436.91314
2207,Henan,6891851116.71914
2275,Henan,3059895655.35772
2276,Henan,6971355650.55084
2277,Henan,6982823725.50748
2278,Henan,6996719681.30112
2347,Hubei,6807320244.68408
2348,Henan,4687879138.31861
2349,Henan,6161575183.55396
2350,Henan,6673974875.78697
2422,Hubei,5707452961.01532
2423,Henan,5841521086.65784
2495,Hubei,7288999015.30998
2273,Shaanxi,6818261459.93594
2274,Shaanxi,5471924672.09665
2345,Shaanxi,6893356047.01557
2346,Hubei,5065068003.79956
2417,Shaanxi,3757448171.27548
2418,Hubei,6805043571.15309
2419,Hubei,7200083768.35738
2420,Hubei,7209770294.94074
2421,Hubei,7222042820.94041
2490,Chongqing,3802203418.53946
2491,Hubei,7318139426.32431
2492,Hubei,7328148833.98392
2493,Hubei,7340831087.75237
2494,Hubei,7356201194.8322
2560,Chongqing,6286805754.99961
2561,Hubei,5843569750.59528
2562,Hubei,7402309515.23711
2563,Hubei,6649232971.52908
2564,Hubei,7445793406.60575
2565,Hubei,7458889625.56994
2566,Hubei,7474762429.41284
2567,Hubei,7493431192.31096
2632,Chongqing,7078097550.04815
2633,Hubei,5145889045.56129
2634,Hunan,5129221683.12243
2635,Hunan,7318308899.90679
2636,Hunan,6069802832.17011
2637,Hunan,3979033731.38904
2705,Chongqing,4630946709.7619
2706,Hunan,7659249597.33966
2707,Hunan,7667321313.38933
2708,Hunan,7678317240.80838
2709,Hunan,7692251555.91283
2777,Guizhou,4791834321.14239
2778,Hunan,7773262890.40636
2779,Hunan,7781578766.76037
2780,Hunan,7792907738.19768
2781,Hunan,7807264806.91382
2849,Guizhou,4959174281.99193
2850,Hunan,7885963286.91004
2851,Hunan,7894524148.62793
2852,Hunan,7906187308.63751
2853,Hunan,7920968615.58689
2921,Guizhou,6239122580.37258
2922,Hunan,7321152891.80835
2923,Hunan,5555782960.4864
2924,Hunan,8018005827.11212
2925,Hunan,8033212068.89942
2993,Guangxi,5531048252.21894
2994,Guangxi,7917035755.71742
2995,Guangxi,6989433037.41245
2996,Hunan,8058505337.73295
2997,Hunan,7546661424.07248
3067,Guangxi,7533497596.13653
3068,Hunan,3589477023.15383
3069,Guangdong,7170333265.33325
3070,Guangdong,8272172842.46269
3140,Guangdong,4487000654.92258
3141,Guangdong,8359647112.09129
3142,Guangdong,8379626834.59675
3143,Guangdong,8403139417.79535
3144,Guangdong,8430220187.90179
3145,Guangdong,8460909952.50505
3211,Guangxi,8110168012.06244
3212,Guangdong,8359901903.29357
3213,Guangdong,8464510543.85306
3214,Guangdong,8182595227.7735
3215,Guangdong,8370947457.33818
3216,Guangdong,7744121364.58353
3217,Guangdong,5668153051.30287
3218,Guangdong,218345361.536545
